Bridged Component Pairs:
(CO923,CO2)
(CO532,CO280)
(CO335,CO334)
(CO308,CO307)
(CO1277,CO1276)
(CO1260,CO1259)
(CO541,CO526)
(CO1590,CO507)
(CO338,CO337)
(CO1062,CO1061)
(CO351,CO347)
(CO1482,CO41)
(CO352,CO347)
(CO348,CO347)
(CO132,CO131)
(CO342,CO340)
(CO1791,CO1064)
(CO1732,CO1731)
(CO1294,CO1293)
(CO1870,CO304)
(CO1099,CO1098)
(CO1751,CO909)
(CO1478,CO39)
(CO1858,CO279)
(CO515,CO514)
(CO661,CO446)
(CO1140,CO1033)
(CO658,CO443)
(CO339,CO338)
(CO1861,CO284)
(CO1063,CO1061)
(CO1097,CO1096)
(CO1267,CO1266)
(CO1699,CO814)
(CO771,CO770)
(CO1472,CO33)
(CO1462,CO299)
(CO71,CO70)
(CO1101,CO1100)
(CO1832,CO709)
(CO342,CO341)
(CO1784,CO1018)
(CO1840,CO1098)
(CO1544,CO1539)
(CO1807,CO1144)
(CO1765,CO998)
(CO1464,CO300)
(CO1418,CO261)
(CO1768,CO999)
(CO1518,CO254)
(CO1319,CO1314)
(CO692,CO690)
(CO1711,CO820)
(CO1851,CO1850)
(CO1320,CO1318)
(CO1729,CO829)
(CO1626,CO507)
(CO517,CO515)
(CO1433,CO1042)
(CO1876,CO315)
(CO472,CO467)
(CO1406,CO1405)
(CO1434,CO1433)
(CO1901,CO1046)
(CO1458,CO1041)
(CO1425,CO300)
(CO1860,CO284)
(CO1523,CO257)
(CO1292,CO1291)
(CO857,CO855)
(CO1233,CO1231)
(CO517,CO514)
(CO566,CO565)
(CO1177,CO1175)
(CO645,CO643)
(CO136,CO135)
(CO1540,CO505)
(CO1752,CO909)
(CO726,CO725)
(CO502,CO501)
(CO1511,CO241)
(CO1669,CO604)
(CO697,CO696)
(CO325,CO324)
(CO1856,CO278)
(CO465,CO464)
(CO1569,CO1565)
(CO572,CO570)
(CO1388,CO1368)
(CO77,CO76)
(CO1761,CO996)
(CO1849,CO1102)
(CO512,CO510)
(CO1451,CO1035)
(CO1702,CO1701)
(CO1421,CO1022)
(CO495,CO439)
(CO1823,CO699)
(CO596,CO595)
(CO344,CO343)
(CO1449,CO1440)
(CO590,CO589)
(CO1735,CO1685)
(CO1069,CO1068)
(CO651,CO649)
(CO1445,CO262)
(CO683,CO681)
(CO469,CO468)
(CO1805,CO1144)
(CO686,CO684)
(CO1448,CO1447)
(CO856,CO855)
(CO275,CO274)
(CO1905,CO1049)
(CO698,CO696)
(CO1816,CO1814)
(CO1768,CO1767)
(CO772,CO770)
(CO400,CO67)
(CO1458,CO1457)
(CO1543,CO1539)
(CO1397,CO1368)
(CO1901,CO1856)
(CO557,CO332)
(CO1735,CO832)
(CO1782,CO1781)
(CO1784,CO1783)
(CO588,CO586)
(CO1410,CO1409)
(CO1465,CO1050)
(CO1716,CO1715)
(CO1692,CO1691)
(CO1625,CO507)
(CO1670,CO1669)
(CO1427,CO1423)
(CO566,CO464)
(CO1389,CO1368)
(CO560,CO559)
(CO813,CO314)
(CO1701,CO831)
(CO21,CO14)
(CO681,CO642)
(CO1906,CO1905)
(CO1875,CO314)
(CO1710,CO1709)
(CO1405,CO1402)
(CO557,CO556)
(CO1896,CO1019)
(CO1829,CO84)
(CO1447,CO1442)
(CO341,CO340)
(CO1258,CO1257)
(CO1438,CO1051)
(CO1091,CO1089)
(CO601,CO474)
(CO174,CO173)
(CO1767,CO999)
(CO73,CO72)
(CO1770,CO449)
(CO1839,CO1098)
(CO789,CO788)
(CO1728,CO1727)
(CO368,CO367)
(CO1067,CO1063)
(CO1734,CO1733)
(CO372,CO371)
(CO730,CO729)
(CO1587,CO1565)
(CO1232,CO1231)
(CO1904,CO1903)
(CO1808,CO1144)
(CO1383,CO1368)
(CO1151,CO696)
(CO863,CO861)
(CO1438,CO1437)
(CO1067,CO1065)
(CO730,CO728)
(CO1067,CO1061)
(CO1833,CO709)
(CO1836,CO1096)
(CO1754,CO909)
(CO1457,CO1041)
(CO1424,CO1423)
(CO499,CO498)
(CO1885,CO319)
(CO1731,CO806)
(CO682,CO681)
(CO862,CO861)
(CO564,CO464)
(CO565,CO564)
(CO1177,CO1176)
(CO1806,CO1767)
(CO565,CO464)
(CO1570,CO1565)
(CO594,CO592)
(CO439,CO438)
(CO1050,CO285)
(CO1876,CO303)
(CO1752,CO1751)
(CO1754,CO1753)
(CO1700,CO1699)
(CO858,CO136)
(CO1090,CO1089)
(CO308,CO305)
(CO1783,CO1658)
(CO1465,CO285)
(CO1514,CO252)
(CO1874,CO314)
(CO1815,CO1814)
(CO297,CO296)
(CO1153,CO1151)
(CO1792,CO1064)
(CO926,CO455)
(CO457,CO450)
(CO760,CO728)
(CO1178,CO1176)
(CO1859,CO279)
(CO1296,CO1295)
(CO339,CO337)
(CO1596,CO507)
(CO1176,CO133)
(CO1519,CO255)
(CO1459,CO285)
(CO1176,CO134)
(CO729,CO728)
(CO1699,CO1120)
(CO1597,CO507)
(CO1380,CO1368)
(CO1216,CO1215)
(CO11,CO10)
(CO512,CO132)
(CO1795,CO1120)
(CO1430,CO1429)
(CO1851,CO1828)
(CO1863,CO298)
(CO1465,CO1459)
(CO1479,CO40)
(CO1283,CO1282)
(CO1792,CO1791)
(CO1837,CO1096)
(CO1053,CO1052)
(CO1450,CO1449)
(CO1480,CO447)
(CO1445,CO1444)
(CO31,CO30)
(CO19,CO18)
(CO635,CO634)
